Timestamp,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay
2016-10-04 07:59:00,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0
2016-10-04 07:59:00,BHMNCPHST01,1200,26.14001386,91.73099967,237,bike,low,2,0
2016-10-04 07:59:00,BHMMBMMBX01,687,20.0000347,78.00000286,264,car,low,2,0
2016-10-04 07:59:00,BHMNCPNST01,485,26.14004753,91.73097233,249,car,low,2,0
2016-10-04 07:59:00,Shopping,1920,26.15050395,91.73353109,614,cycle,low,2,0
2016-10-04 07:59:00,BHMEURBRD01,470,26.14901995,91.7395035,117,car,low,2,0
2016-10-04 07:59:00,Broad Street,690,26.13795775,91.74099445,178,car,low,2,0
2016-10-04 07:59:00,Others-CCCPS8,1322,26.14754886,91.72799519,445,bike,average,3,0
2016-10-04 07:59:00,Others-CCCPS105a,2009,26.14747299,91.72804914,709,car,low,2,0
2016-10-04 07:59:00,Others-CCCPS119a,2803,26.14754061,91.72797041,195,car,low,1,0
2016-10-04 07:59:00,BHMBCCTHL01,387,26.14449459,91.73620513,120,car,low,2,0
2016-10-04 07:59:00,Others-CCCPS135a,3883,26.14749943,91.72800489,1081,car,low,2,0
2016-10-04 07:59:00,Others-CCCPS202,2937,26.14749053,91.72799688,547,bike,low,2,0
2016-10-04 07:59:00,Others-CCCPS98,3103,26.14749998,91.72797778,588,car,average,2,0
2016-10-04 08:25:00,Others-CCCPS8,1322,26.14754886,91.72799519,478,truck,low,2,0
2016-10-04 08:25:00,BHMNCPNST01,485,26.14004753,91.73097233,267,truck,low,2,0
2016-10-04 08:25:00,Others-CCCPS105a,2009,26.14747299,91.72804914,780,car,average,3,0
2016-10-04 08:25:00,Others-CCCPS202,2937,26.14749053,91.72799688,665,car,low,2,0
2016-10-04 08:25:00,Others-CCCPS135a,3883,26.14749943,91.72800489,1467,bike,low,3,0
2016-10-04 08:25:00,BHMBCCTHL01,387,26.14449459,91.73620513,129,car,average,2,0
2016-10-04 08:25:00,BHMMBMMBX01,687,20.0000347,78.00000286,302,car,low,1,0
2016-10-04 08:25:00,BHMEURBRD01,470,26.14901995,91.7395035,174,bike,low,1,0
2016-10-04 08:25:00,Others-CCCPS98,3103,26.14749998,91.72797778,678,bike,average,3,0
2016-10-04 08:25:00,Broad Street,690,26.13795775,91.74099445,269,car,low,2,0
2016-10-04 08:25:00,Others-CCCPS119a,2803,26.14754061,91.72797041,238,car,average,2,0
2016-10-04 08:25:00,Shopping,1920,26.15050395,91.73353109,761,car,low,2,0
2016-10-04 08:25:00,BHMNCPHST01,1200,26.14001386,91.73099967,315,bike,low,2,0
2016-10-04 08:25:00,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0
2016-10-04 08:59:00,Others-CCCPS8,1322,26.14754886,91.72799519,518,car,average,3,0
2016-10-04 08:59:00,BHMBCCTHL01,387,26.14449459,91.73620513,155,car,low,2,0
2016-10-04 08:59:00,Others-CCCPS119a,2803,26.14754061,91.72797041,323,car,low,2,0
2016-10-04 08:59:00,Shopping,1920,26.15050395,91.73353109,958,car,low,2,0
2016-10-04 08:59:00,Others-CCCPS135a,3883,26.14749943,91.72800489,2007,car,low,2,0
2016-10-04 08:59:00,Broad Street,690,26.13795775,91.74099445,415,bike,low,3,0
2016-10-04 08:59:00,BHMNCPNST01,485,26.14004753,91.73097233,278,car,low,2,0
2016-10-04 08:59:00,BHMEURBRD01,470,26.14901995,91.7395035,269,truck,low,2,0
2016-10-04 08:59:00,BHMMBMMBX01,687,20.0000347,78.00000286,346,truck,low,2,0
2016-10-04 08:59:00,BHMBCCMKT01,577,26.14453614,91.73617216,80,car,low,2,0
2016-10-04 08:59:00,Others-CCCPS98,3103,26.14749998,91.72797778,792,car,low,3,0
2016-10-04 08:59:00,BHMNCPHST01,1200,26.14001386,91.73099967,441,car,low,2,0
2016-10-04 08:59:00,Others-CCCPS202,2937,26.14749053,91.72799688,848,bike,low,2,0
2016-10-04 08:59:00,Others-CCCPS105a,2009,26.14747299,91.72804914,864,car,low,2,0
2016-10-04 09:32:00,BHMEURBRD01,470,26.14901995,91.7395035,351,cycle,low,3,0
2016-10-04 09:32:00,BHMBCCTHL01,387,26.14449459,91.73620513,204,cycle,low,2,0
2016-10-04 09:32:00,Others-CCCPS202,2937,26.14749053,91.72799688,1036,car,low,3,0
2016-10-04 09:32:00,Others-CCCPS8,1322,26.14754886,91.72799519,590,cycle,low,3,0
2016-10-04 09:32:00,Broad Street,690,26.13795775,91.74099445,530,car,low,2,0
2016-10-04 09:32:00,Others-CCCPS98,3103,26.14749998,91.72797778,932,car,low,3,0
2016-10-04 09:32:00,Others-CCCPS119a,2803,26.14754061,91.72797041,420,bike,low,2,0
2016-10-04 09:32:00,Others-CCCPS105a,2009,26.14747299,91.72804914,1004,car,low,3,0
2016-10-04 09:32:00,BHMBCCMKT01,577,26.14453614,91.73617216,107,car,low,2,0
2016-10-04 09:32:00,Shopping,1920,26.15050395,91.73353109,1121,cycle,low,3,0
2016-10-04 09:32:00,Others-CCCPS135a,3883,26.14749943,91.72800489,2502,bike,low,3,0
2016-10-04 09:32:00,BHMMBMMBX01,687,20.0000347,78.00000286,414,truck,low,2,0
2016-10-04 09:32:00,BHMNCPHST01,1200,26.14001386,91.73099967,552,bike,low,2,0
2016-10-04 09:32:00,BHMNCPNST01,485,26.14004753,91.73097233,302,truck,low,3,0
2016-10-04 09:59:00,BHMNCPHST01,1200,26.14001386,91.73099967,638,car,low,2,0
2016-10-04 09:59:00,Shopping,1920,26.15050395,91.73353109,1254,truck,low,3,0
2016-10-04 09:59:00,Others-CCCPS8,1322,26.14754886,91.72799519,657,truck,low,3,0
2016-10-04 09:59:00,BHMEURBRD01,470,26.14901995,91.7395035,397,bike,low,2,0
2016-10-04 09:59:00,Others-CCCPS98,3103,26.14749998,91.72797778,1052,cycle,low,3,0
2016-10-04 09:59:00,Others-CCCPS119a,2803,26.14754061,91.72797041,476,car,low,3,0
2016-10-04 09:59:00,BHMBCCTHL01,387,26.14449459,91.73620513,236,car,low,2,0
2016-10-04 09:59:00,Others-CCCPS105a,2009,26.14747299,91.72804914,1142,car,low,3,0
2016-10-04 09:59:00,Others-CCCPS202,2937,26.14749053,91.72799688,1163,car,low,3,0
2016-10-04 09:59:00,Broad Street,690,26.13795775,91.74099445,600,car,low,2,0
2016-10-04 09:59:00,BHMNCPNST01,485,26.14004753,91.73097233,327,car,average,3,0
2016-10-04 09:59:00,BHMBCCMKT01,577,26.14453614,91.73617216,150,bike,low,2,0
2016-10-04 09:59:00,Others-CCCPS135a,3883,26.14749943,91.72800489,2802,truck,low,3,0
2016-10-04 09:59:00,BHMMBMMBX01,687,20.0000347,78.00000286,485,car,low,3,0
2016-10-04 10:26:00,Others-CCCPS8,1322,26.14754886,91.72799519,715,car,low,3,0
2016-10-04 10:26:00,BHMEURBRD01,470,26.14901995,91.7395035,430,car,low,3,0
2016-10-04 10:26:00,Others-CCCPS98,3103,26.14749998,91.72797778,1142,car,low,4,0
2016-10-04 10:26:00,Broad Street,690,26.13795775,91.74099445,642,car,low,4,0
2016-10-04 10:26:00,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,low,3,0
2016-10-04 10:26:00,Others-CCCPS105a,2009,26.14747299,91.72804914,1245,truck,low,4,0
2016-10-04 10:26:00,Others-CCCPS119a,2803,26.14754061,91.72797041,525,cycle,low,4,0
2016-10-04 10:26:00,BHMNCPHST01,1200,26.14001386,91.73099967,686,car,average,4,0
2016-10-04 10:26:00,Others-CCCPS202,2937,26.14749053,91.72799688,1257,car,low,3,0
2016-10-04 10:26:00,Others-CCCPS135a,3883,26.14749943,91.72800489,3035,car,low,5,0
2016-10-04 10:26:00,Shopping,1920,26.15050395,91.73353109,1324,car,low,4,0
2016-10-04 10:26:00,BHMMBMMBX01,687,20.0000347,78.00000286,530,car,average,5,0
2016-10-04 10:26:00,BHMNCPNST01,485,26.14004753,91.73097233,351,car,low,3,0
2016-10-04 10:26:00,BHMBCCTHL01,387,26.14449459,91.73620513,264,car,low,3,0
2016-10-04 10:59:00,Shopping,1920,26.15050395,91.73353109,1387,car,average,5,0
2016-10-04 10:59:00,BHMNCPHST01,1200,26.14001386,91.73099967,729,car,average,4,0
2016-10-04 10:59:00,Others-CCCPS202,2937,26.14749053,91.72799688,1354,bike,high,7,0
2016-10-04 10:59:00,Others-CCCPS98,3103,26.14749998,91.72797778,1210,car,average,5,0
2016-10-04 10:59:00,Others-CCCPS135a,3883,26.14749943,91.72800489,3169,car,average,6,0
2016-10-04 10:59:00,BHMMBMMBX01,687,20.0000347,78.00000286,573,car,average,4,0
2016-10-04 10:59:00,Broad Street,690,26.13795775,91.74099445,675,bike,average,4,0
2016-10-04 10:59:00,BHMNCPNST01,485,26.14004753,91.73097233,371,car,high,6,0
2016-10-04 10:59:00,Others-CCCPS8,1322,26.14754886,91.72799519,791,car,average,4,0
2016-10-04 10:59:00,BHMBCCMKT01,577,26.14453614,91.73617216,219,truck,high,6,0
2016-10-04 10:59:00,BHMBCCTHL01,387,26.14449459,91.73620513,308,car,average,4,0
2016-10-04 10:59:00,Others-CCCPS119a,2803,26.14754061,91.72797041,574,truck,average,4,0
2016-10-04 10:59:00,BHMEURBRD01,470,26.14901995,91.7395035,458,cycle,high,6,0
2016-10-04 10:59:00,Others-CCCPS105a,2009,26.14747299,91.72804914,1364,bike,average,5,0
2016-10-04 11:25:00,Shopping,1920,26.15050395,91.73353109,1428,truck,average,6,0
2016-10-04 11:25:00,BHMNCPHST01,1200,26.14001386,91.73099967,765,car,average,5,0
2016-10-04 11:25:00,BHMBCCMKT01,577,26.14453614,91.73617216,247,car,average,5,0
2016-10-04 11:25:00,Others-CCCPS8,1322,26.14754886,91.72799519,820,truck,average,5,0
2016-10-04 11:25:00,Others-CCCPS202,2937,26.14749053,91.72799688,1369,bike,average,6,0
2016-10-04 11:25:00,Others-CCCPS105a,2009,26.14747299,91.72804914,1424,bike,average,6,0
2016-10-04 11:25:00,BHMEURBRD01,470,26.14901995,91.7395035,464,car,average,5,0
2016-10-04 11:25:00,Others-CCCPS98,3103,26.14749998,91.72797778,1241,truck,high,9,0
2016-10-04 11:25:00,Others-CCCPS135a,3883,26.14749943,91.72800489,3221,truck,average,7,0
2016-10-04 11:25:00,BHMMBMMBX01,687,20.0000347,78.00000286,604,bike,average,5,0
2016-10-04 11:25:00,Others-CCCPS119a,2803,26.14754061,91.72797041,588,truck,average,5,0
2016-10-04 11:25:00,BHMBCCTHL01,387,26.14449459,91.73620513,324,bike,average,5,0
2016-10-04 11:25:00,BHMNCPNST01,485,26.14004753,91.73097233,373,truck,high,7,0
